"","x"
"Tac2",1
"Esr1",1
"Prlr",1
"Lhx5",1
"Nr5a2",1
"Nr4a2",1
"Rxfp1",1
"Calb1",1
"Slc17a6",1
"Pdyn",1
"Sphkap",1
"Gm27199",1
"Tmem35",0
"Ar",1
"Lxn",1
"Cdh8",1
"Laptm4b",1
"Tppp3",1
"Kctd4",1
"Sdc2",1
"Tacr3",1
"Pgrmc1",1
"Mrap2",1
"Rasd1",1
"Scg2",1
"Slc32a1",1
"Sox14",1
"Plekhb1",1
"Lhfpl1",1
"Pomc",1
"Vgll3",1
"Golim4",1
"App",1
"Npr3",1
"Nkx2.1",0
"Pcdh11x",1
"Pcdh19",1
"Rap2c",1
"Pcsk1",1
"Nptxr",1
"Enox2",1
"Inhbb",1
"Ldb2",1
"Rbms3",1
"Kcnk2",1
"Fgf13",1
"Rec8",1
"H2.Q2",0
"Nell1",1
"Nop56",1
"Hs3st4",1
"F730043M19Rik",1
"Ddah1",1
"Tmem47",1
"Mrps11",1
"Pcdh8",1
"Tmem163",1
"Fam159a",0
"Trpc5",1
"Ampd3",1
"Mad2l1",1
"Oprk1",1
"Kctd8",1
"Ptpn5",1
"Tmem8c",0
"Naaa",1
"Hs3st5",1
"Igsf21",1
"Peli1",1
"Lrrc38",0
"X4932443I19Rik",0
"Sema5a",1
"Dnajc21",1
"Hs3st1",1
"Col2a1",1
"Gfra1",1
"Rnf128",1
"Tmem200a",1
"Cacna2d1",1
"Prdm12",1
"Kiss1",1
"D430041D05Rik",1
"Tspan13",1
"Otp",1
"Greb1",1
"Lipg",1
"Cmip",1
"Gnai1",0
"Olfm2",1
"Npy1r",1
"Pak3",1
"Brs3",1
"Smoc1",1
"Cxxc5",1
"Stmn2",1
"Stk26",1
"Vcan",1
"Htatsf1",1
"Ets2",1
"Kcnk13",1
"Etnk2",1
"Lrrc17",1
"C130026L21Rik",1
"Ptprt",1
"Abhd17c",1
"Arl4c",1
"Fam222a",1
"Ptprg",1
"Gm14204",1
"BC030500",1
"Sytl4",1
"Rara",1
"Creb3l1",1
"Csrnp3",1
"Ism1",1
"Slc25a42",1
