"","x"
"Tac2",TRUE
"Esr1",TRUE
"Prlr",TRUE
"Lhx5",TRUE
"Nr5a2",TRUE
"Nr4a2",TRUE
"Rxfp1",TRUE
"Calb1",TRUE
"Slc17a6",TRUE
"Pdyn",TRUE
"Sphkap",TRUE
"Gm27199",TRUE
"Tmem35",FALSE
"Ar",TRUE
"Lxn",TRUE
"Cdh8",TRUE
"Laptm4b",TRUE
"Tppp3",TRUE
"Kctd4",TRUE
"Sdc2",TRUE
"Tacr3",TRUE
"Pgrmc1",TRUE
"Mrap2",TRUE
"Rasd1",TRUE
"Scg2",TRUE
"Slc32a1",TRUE
"Sox14",TRUE
"Plekhb1",TRUE
"Lhfpl1",TRUE
"Pomc",TRUE
"Vgll3",TRUE
"Golim4",TRUE
"App",TRUE
"Npr3",TRUE
"Nkx2.1",FALSE
"Pcdh11x",TRUE
"Pcdh19",TRUE
"Rap2c",TRUE
"Pcsk1",TRUE
"Nptxr",TRUE
"Enox2",TRUE
"Inhbb",TRUE
"Ldb2",TRUE
"Rbms3",TRUE
"Kcnk2",TRUE
"Fgf13",TRUE
"Rec8",TRUE
"H2.Q2",FALSE
"Nell1",TRUE
"Nop56",TRUE
"Hs3st4",TRUE
"F730043M19Rik",TRUE
"Ddah1",TRUE
"Tmem47",TRUE
"Mrps11",TRUE
"Pcdh8",TRUE
"Tmem163",TRUE
"Fam159a",FALSE
"Trpc5",TRUE
"Ampd3",TRUE
"Mad2l1",TRUE
"Oprk1",TRUE
"Kctd8",TRUE
"Ptpn5",TRUE
"Tmem8c",FALSE
"Naaa",TRUE
"Hs3st5",TRUE
"Igsf21",TRUE
"Peli1",TRUE
"Lrrc38",FALSE
"X4932443I19Rik",FALSE
"Sema5a",TRUE
"Dnajc21",TRUE
"Hs3st1",TRUE
"Col2a1",TRUE
"Gfra1",TRUE
"Rnf128",TRUE
"Tmem200a",TRUE
"Cacna2d1",TRUE
"Prdm12",TRUE
"Kiss1",TRUE
"D430041D05Rik",TRUE
"Tspan13",TRUE
"Otp",TRUE
"Greb1",TRUE
"Lipg",TRUE
"Cmip",TRUE
"Gnai1",FALSE
"Olfm2",TRUE
"Npy1r",TRUE
"Pak3",TRUE
"Brs3",TRUE
"Smoc1",TRUE
"Cxxc5",TRUE
"Stmn2",TRUE
"Stk26",TRUE
"Vcan",TRUE
"Htatsf1",TRUE
"Ets2",TRUE
"Kcnk13",TRUE
"Etnk2",TRUE
"Lrrc17",TRUE
"C130026L21Rik",TRUE
"Ptprt",TRUE
"Abhd17c",TRUE
"Arl4c",TRUE
"Fam222a",TRUE
"Ptprg",TRUE
"Gm14204",TRUE
"BC030500",TRUE
"Sytl4",TRUE
"Rara",TRUE
"Creb3l1",TRUE
"Csrnp3",TRUE
"Ism1",TRUE
"Slc25a42",TRUE
