#mm10.knownToEnsembl.name	mm10.knownToEnsembl.value	mm10.kgXref.geneSymbol
ENSMUST00000002395.7	ENSMUST00000002395.7	Rec8
ENSMUST00000005400.12	ENSMUST00000005400.12	Prlr
ENSMUST00000005406.11	ENSMUST00000005406.11	App
ENSMUST00000005829.12	ENSMUST00000005829.12	Ampd3
ENSMUST00000007433.4	ENSMUST00000007433.4	Kiss1
ENSMUST00000009358.8	ENSMUST00000009358.8	Mymk
ENSMUST00000014990.12	ENSMUST00000014990.12	Tppp3
ENSMUST00000020896.16	ENSMUST00000020896.16	Tspan13
ENSMUST00000020990.6	ENSMUST00000020990.6	Pomc
ENSMUST00000021564.10	ENSMUST00000021564.10	Smoc1
ENSMUST00000022075.5	ENSMUST00000022075.5	Pcsk1
ENSMUST00000022195.11	ENSMUST00000022195.11	Otp
ENSMUST00000022264.12	ENSMUST00000022264.12	Ptprg
ENSMUST00000022867.4	ENSMUST00000022867.4	Laptm4b
ENSMUST00000022871.6	ENSMUST00000022871.6	Sdc2
ENSMUST00000023057.9	ENSMUST00000023057.9	Nptxr
ENSMUST00000023123.14	ENSMUST00000023123.14	Col2a1
ENSMUST00000023612.16	ENSMUST00000023612.16	Ets2
ENSMUST00000026076.13	ENSMUST00000026076.13	Gfra1
ENSMUST00000026466.4	ENSMUST00000026466.4	Tac2
ENSMUST00000026760.2	ENSMUST00000026760.2	Tmem47
ENSMUST00000027038.10	ENSMUST00000027038.10	Oprk1
ENSMUST00000027585.13	ENSMUST00000027585.13	Tmem163
ENSMUST00000027649.13	ENSMUST00000027649.13	Nr5a2
ENSMUST00000028166.8	ENSMUST00000028166.8	Nr4a2
ENSMUST00000028663.4	ENSMUST00000028663.4	Creb3l1
ENSMUST00000028883.11	ENSMUST00000028883.11	Pdyn
ENSMUST00000028890.14	ENSMUST00000028890.14	Nop56
ENSMUST00000029002.8	ENSMUST00000029002.8	Stmn2
ENSMUST00000029822.5	ENSMUST00000029822.5	Tacr3
ENSMUST00000029845.14	ENSMUST00000029845.14	Ddah1
ENSMUST00000029876.1	ENSMUST00000029876.1	Calb1
ENSMUST00000031591.9	ENSMUST00000031591.9	Lhx5
ENSMUST00000032710.6	ENSMUST00000032710.6	Slc17a6
ENSMUST00000032840.4	ENSMUST00000032840.4	Mrps11
ENSMUST00000033142.12	ENSMUST00000033142.12	Ptpn5
ENSMUST00000033437.14	ENSMUST00000033437.14	Enox2
ENSMUST00000033444.10	ENSMUST00000033444.10	Stk26
ENSMUST00000033464.3	ENSMUST00000033464.3	Brs3
ENSMUST00000033473.11	ENSMUST00000033473.11	Fgf13
ENSMUST00000033608.14	ENSMUST00000033608.14	Sytl4
ENSMUST00000033640.13	ENSMUST00000033640.13	Pak3
ENSMUST00000034692.8	ENSMUST00000034692.8	Olfm2
ENSMUST00000035651.5	ENSMUST00000035651.5	Lrrc17
ENSMUST00000037687.7	ENSMUST00000037687.7	Tmem35a
ENSMUST00000038563.13	ENSMUST00000038563.13	Golim4
ENSMUST00000038765.5	ENSMUST00000038765.5	Inhbb
ENSMUST00000039303.6	ENSMUST00000039303.6	Npy1r
ENSMUST00000039331.8	ENSMUST00000039331.8	Igsf21
ENSMUST00000039370.13	ENSMUST00000039370.13	Cacna2d1
ENSMUST00000039568.10	ENSMUST00000039568.10	Pcdh8
ENSMUST00000040084.9	ENSMUST00000040084.9	Lhfpl1
ENSMUST00000040184.3	ENSMUST00000040184.3	Trpc5
ENSMUST00000043650.7	ENSMUST00000043650.7	Fam222a
ENSMUST00000044901.13	ENSMUST00000044901.13	Rbms3
ENSMUST00000045738.4	ENSMUST00000045738.4	Slc32a1
ENSMUST00000048064.15	ENSMUST00000048064.15	Greb1
ENSMUST00000049457.13	ENSMUST00000049457.13	Mrap2
ENSMUST00000049788.8	ENSMUST00000049788.8	Kcnk13
ENSMUST00000049972.5	ENSMUST00000049972.5	Scg2
ENSMUST00000050120.3	ENSMUST00000050120.3	Kctd4
