"","x"
"Kiss1",1
"Oprk1",0
"Tmem163",1
"Nr5a2",1
"Inhbb",1
"Scg2",1
"Arl4c",1
"Sphkap",1
"Kcnk2",1
"Kcnk2",1
"Etnk2",0
"Etnk2",1
"Etnk2",1
"Etnk2",1
"Etnk2",1
"Sphkap",1
"Oprk1",1
"Arl4c",1
"Tmem163",1
"Sphkap",1
"Oprk1",1
"Sphkap",1
"Tmem163",0
"Oprk1",1
"Sphkap",1
"Tmem163",1
"Nr5a2",1
"Kiss1",1
"Kcnk2",1
"Gm28040",0
"Scg2",1
"Tmem163",1
"Arl4c",1
"Nr5a2",1
"Kcnk2",1
"Nr5a2",1
"Oprk1",1
"Kcnk2",1
"Nr5a2",1
"Kcnk2",1
"Kcnk2",1
"Gm28040",1
"Gm28040",1
"Kcnk2",1
"Kcnk2",1
"Kcnk2",0
"Gm28040",1
"Nr5a2",1
"Oprk1",0
"Mymk",1
"Nr4a2",1
"Creb3l1",1
"Pdyn",1
"Nop56",0
"Slc32a1",1
"Csrnp3",0
"D430041D05Rik",1
"Ism1",1
"Nop56",0
"Ptprt",1
"Ptprt",0
"Ptprt",1
"Ptprt",1
"Csrnp3",1
"Csrnp3",1
"Nr4a2",1
"Nr4a2",1
"Prdm12",1
"Csrnp3",1
"Gm14204",0
"Gm14204",0
"Nr4a2",0
"Ptprt",0
"Csrnp3",1
"Pdyn",0
"Nop56",1
"D430041D05Rik",1
"Nop56",0
"Nop56",1
"Csrnp3",1
"Nr4a2",0
"D430041D05Rik",0
"Nop56",1
"Nop56",0
"Nop56",0
"Csrnp3",1
"Gm14204",0
"Nop56",1
"D430041D05Rik",1
"Nop56",1
"Nop56",1
"Nop56",0
"Pdyn",1
"Nop56",0
"Ptprt",0
"Gm14204",1
"D430041D05Rik",1
"D430041D05Rik",1
"Nop56",0
"Nop56",1
"Nop56",1
"Nop56",0
"Nop56",1
"Nop56",0
"Mymk",0
"Csrnp3",1
"Nr4a2",1
"Ism1",1
"D430041D05Rik",0
"Stmn2",0
"Tacr3",1
"Ddah1",1
"Golim4",0
"Lxn",0
"Rxfp1",1
"Golim4",1
"Ddah1",0
"Golim4",1
"Ddah1",0
"Golim4",0
"Golim4",0
"Golim4",1
"Golim4",0
"Lxn",1
"Lxn",0
"Golim4",0
"Rxfp1",1
"Rxfp1",1
"Rxfp1",1
"Stmn2",1
"Golim4",1
"Stmn2",1
"Stmn2",1
"Calb1",1
"Igsf21",1
"Lrrc38",0
"Shisal2a",1
"Calb1",1
"Calb1",1
"Lhx5",1
"Lrrc17",1
"Cacna2d1",0
"Fam222a",1
"Hs3st1",1
"Kctd8",1
"C130026L21Rik",1
"Ldb2",0
"Gnai1",0
"Cacna2d1",1
"Kctd8",1
"Cacna2d1",0
"Naaa",0
"Cacna2d1",1
"Hs3st1",1
"Fam222a",1
"Hs3st1",1
"Hs3st1",1
"Naaa",0
"Naaa",1
"Naaa",1
"Cacna2d1",1
"Naaa",1
"Cacna2d1",1
"Gm27199",1
"C130026L21Rik",0
"Cacna2d1",1
"Ldb2",0
"C130026L21Rik",1
"Ldb2",1
"Cacna2d1",0
"Ldb2",0
"Ldb2",1
"Lrrc17",1
"Ldb2",0
"Ldb2",1
"C130026L21Rik",1
"Cacna2d1",1
"Cacna2d1",0
"Cacna2d1",1
"Cacna2d1",0
"Mad2l1",1
"Mad2l1",0
"Mad2l1",1
"Mad2l1",1
"Tac1",1
"Ampd3",1
"Slc17a6",1
"Mrps11",1
"Ptpn5",1
"Plekhb1",1
"Nell1",1
"Ptpn5",1
"Hs3st4",1
"Ampd3",1
"Plekhb1",1
"Plekhb1",1
"Plekhb1",0
"Plekhb1",1
"Plekhb1",1
"Nell1",1
"Plekhb1",0
"Abhd17c",1
"Mrps11",1
"Abhd17c",1
"Mrps11",0
"Mrps11",1
"Mrps11",1
"Plekhb1",1
"Mrps11",1
"Plekhb1",1
"Plekhb1",1
"Ampd3",0
"Nell1",1
"Ampd3",1
"Ampd3",1
"Plekhb1",0
"Nell1",1
"Nell1",0
"Ampd3",0
"Ampd3",0
"Ptpn5",0
"Ptpn5",1
"Slc17a6",0
"Slc17a6",1
"Abhd17c",0
"Ptpn5",1
"Ptpn5",1
"Ptpn5",0
"Slc17a6",1
"Plekhb1",1
"Ptpn5",1
"Ptpn5",1
"Ptpn5",0
"Ptpn5",0
"Ampd3",1
"Tppp3",1
"Npy1r",1
"BC030500",1
"Slc25a42",1
"Cdh8",1
"Cmip",1
"Slc25a42",1
"Cdh8",1
"Cdh8",1
"Slc25a42",0
"Slc25a42",1
"Cdh8",1
"Cdh8",1
"Cdh8",0
"Slc25a42",0
"Cdh8",1
"BC030500",1
"Cmip",1
"Tppp3",1
"Tppp3",1
"Cmip",0
"Npy1r",1
"Cmip",1
"Olfm2",1
"Rbms3",1
"Mrap2",1
"Sox14",0
"Rbms3",1
"Rbms3",0
"Rbms3",0
"Rbms3",0
"Rbms3",1
"Mrap2",0
"Rbms3",1
"Rbms3",1
"Rbms3",1
"Rbms3",0
"Rbms3",1
"Rbms3",1
"Mrap2",1
"Sox14",1
"Rbms3",0
"Olfm2",1
"Olfm2",1
"Olfm2",1
"Tmem47",1
"Enox2",1
"Stk26",1
"Brs3",1
"Fgf13",1
"Sytl4",1
"Pak3",0
"Tmem35a",0
"Lhfpl1",1
"Trpc5",1
"Pcdh11x",0
"Ar",1
"Rap2c",1
"Pcdh19",1
"Pgrmc1",1
"Htatsf1",1
"Pak3",1
"Pak3",1
"Pak3",1
"Pak3",1
"Rnf128",1
"Rnf128",1
"Rnf128",1
"Sytl4",1
"Sytl4",1
"Pcdh11x",1
"Pcdh11x",1
"Htatsf1",1
"Stk26",0
"Enox2",1
"Enox2",1
"Enox2",1
"Enox2",1
"Fgf13",1
"Fgf13",1
"Lhfpl1",1
"Fgf13",0
"Fgf13",0
"Pak3",1
"Fgf13",1
"Pak3",1
"Htatsf1",1
"Stk26",1
"Enox2",1
"Fgf13",0
"Enox2",1
"Fgf13",1
"Stk26",0
"Trpc5",1
"Pcdh19",0
"Tmem47",0
"Fgf13",1
"Pak3",1
"Pcdh11x",1
"Enox2",1
"Pak3",1
"Enox2",1
"Pcdh19",1
"Tmem47",0
"Pak3",1
"Sytl4",1
"Sytl4",1
"Pcdh11x",1
"Pcdh11x",1
"Pcdh11x",1
"Pcdh19",1
"Pcdh19",1
"Pcdh11x",0
"Pcdh11x",0
"Tac2",0
"Hs3st5",1
"Tmem200a",1
"Esr1",1
"Esr1",1
"Esr1",1
"Esr1",0
"Esr1",1
"Esr1",1
"Esr1",0
"Esr1",1
"Esr1",0
"Esr1",0
"Hs3st5",1
"Hs3st5",1
"Hs3st5",0
"Hs3st5",0
"Tac2",0
"Tac2",1
"Tmem200a",1
"Tac2",1
"Tmem200a",1
"Tmem200a",0
"Tmem200a",1
"Tmem200a",1
"Rasd1",1
"Rara",1
"Peli1",1
"Peli1",1
"Rara",0
"Rara",1
"Rara",1
"Rara",1
"Rara",1
"Peli1",1
"Peli1",1
"Rara",1
"Tspan13",1
"Pomc",0
"Smoc1",0
"Greb1",0
"Kcnk13",0
"Smoc1",1
"Smoc1",1
"F730043M19Rik",0
"F730043M19Rik",1
"F730043M19Rik",1
"F730043M19Rik",1
"F730043M19Rik",1
"Greb1",1
"Greb1",1
"Greb1",0
"Greb1",1
"Kcnk13",1
"Greb1",1
"Greb1",0
"Greb1",1
"Greb1",0
"Greb1",1
"Greb1",1
"Greb1",1
"Kcnk13",1
"F730043M19Rik",0
"Kcnk13",0
"Pomc",1
"Pomc",0
"Pomc",1
"Pomc",0
"Tspan13",1
"Tspan13",1
"Pcsk1",1
"Otp",1
"Vcan",1
"Vcan",1
"Vcan",0
"Pcsk1",1
"Vcan",1
"Vcan",1
"Vcan",1
"Vcan",1
"Vcan",1
"Vcan",1
"Otp",1
"Pcsk1",1
"Rec8",1
"Ptprg",1
"Pcdh8",1
"Kctd4",1
"Ptprg",1
"Ptprg",1
"Rec8",1
"Ptprg",1
"Ptprg",1
"Rec8",1
"Ptprg",1
"Pcdh8",1
"Pcdh8",0
"Pcdh8",1
"Ptprg",0
"Ptprg",0
"Rec8",0
"Prlr",0
"Laptm4b",1
"Sdc2",1
"Nptxr",1
"Col2a1",1
"Npr3",0
"Sema5a",1
"Col2a1",1
"Npcd",1
