"","has_motiff_CAGCTG_int","has_motiff_CACGTG_int","has_motiff_CAAATG_int","has_motiff_CATGTG_int","has_motiff_CACATG_int"
"Kiss1",1,1,0,0,0
"Oprk1",0,0,0,0,0
"Tmem163",1,1,0,0,0
"Nr5a2",0,1,0,1,1
"Inhbb",0,1,0,1,0
"Scg2",0,1,1,0,0
"Arl4c",0,1,0,1,0
"Sphkap",0,0,0,1,1
"Kcnk2",1,0,0,1,1
"Kcnk2",0,0,0,1,1
"Etnk2",0,0,0,0,0
"Etnk2",1,0,1,0,1
"Etnk2",0,0,0,0,1
"Etnk2",1,0,1,0,0
"Etnk2",1,0,1,0,0
"Sphkap",1,1,0,1,0
"Oprk1",0,1,0,0,1
"Arl4c",1,1,0,0,0
"Tmem163",0,0,0,0,1
"Sphkap",0,1,0,0,1
"Oprk1",0,0,1,0,0
"Sphkap",0,1,0,0,1
"Tmem163",0,0,0,0,0
"Oprk1",0,1,0,0,1
"Sphkap",0,0,0,1,0
"Tmem163",1,0,0,1,0
"Nr5a2",0,1,1,0,0
"Kiss1",0,0,1,0,1
"Kcnk2",1,1,0,0,0
"Gm28040",0,0,0,0,0
"Scg2",0,1,0,0,1
"Tmem163",0,0,0,0,1
"Arl4c",0,1,1,0,0
"Nr5a2",0,0,1,0,1
"Kcnk2",0,0,0,0,1
"Nr5a2",0,0,0,1,0
"Oprk1",0,1,0,0,1
"Kcnk2",1,0,0,1,1
"Nr5a2",1,0,0,0,1
"Kcnk2",1,1,0,0,0
"Kcnk2",1,1,0,0,0
"Gm28040",1,0,0,0,0
"Gm28040",1,1,0,0,0
"Kcnk2",1,1,0,0,0
"Kcnk2",0,0,0,0,1
"Kcnk2",0,0,0,0,0
"Gm28040",1,0,0,0,0
"Nr5a2",1,0,0,1,1
"Oprk1",0,0,0,0,0
"Mymk",1,0,0,0,0
"Nr4a2",0,1,0,0,0
"Creb3l1",1,0,0,0,0
"Pdyn",1,1,0,1,1
"Nop56",0,0,0,0,0
"Slc32a1",1,1,1,0,0
"Csrnp3",0,0,0,0,0
"D430041D05Rik",1,0,0,0,0
"Ism1",0,0,1,0,0
"Nop56",0,0,0,0,0
"Ptprt",1,1,0,1,1
"Ptprt",0,0,0,0,0
"Ptprt",1,0,1,1,0
"Ptprt",1,0,0,0,0
"Csrnp3",0,0,1,0,0
"Csrnp3",0,1,0,0,0
"Nr4a2",1,1,0,1,1
"Nr4a2",1,0,0,0,0
"Prdm12",1,1,0,1,1
"Csrnp3",0,0,0,1,1
"Gm14204",0,0,0,0,0
"Gm14204",0,0,0,0,0
"Nr4a2",0,0,0,0,0
"Ptprt",0,0,0,0,0
"Csrnp3",1,0,0,1,1
"Pdyn",0,0,0,0,0
"Nop56",0,0,1,0,0
"D430041D05Rik",1,1,0,0,0
"Nop56",0,0,0,0,0
"Nop56",0,0,0,0,1
"Csrnp3",1,0,1,0,1
"Nr4a2",0,0,0,0,0
"D430041D05Rik",0,0,0,0,0
"Nop56",1,0,0,1,1
"Nop56",0,0,0,0,0
"Nop56",0,0,0,0,0
"Csrnp3",1,0,0,1,1
"Gm14204",0,0,0,0,0
"Nop56",0,0,0,1,0
"D430041D05Rik",0,0,0,1,1
"Nop56",0,0,0,1,0
"Nop56",1,0,0,0,1
"Nop56",0,0,0,0,0
"Pdyn",0,0,0,1,0
"Nop56",0,0,0,0,0
"Ptprt",0,0,0,0,0
"Gm14204",0,1,0,0,1
"D430041D05Rik",0,1,1,0,0
"D430041D05Rik",1,0,1,0,0
"Nop56",0,0,0,0,0
"Nop56",1,0,0,0,1
"Nop56",1,0,0,1,0
