"","x"
"Tac2",2
"Esr1",6
"Prlr",6
"Lhx5",1
"Nr5a2",6
"Nr4a2",4
"Rxfp1",4
"Calb1",3
"Slc17a6",3
"Pdyn",2
"Sphkap",5
"Gm27199",1
"Tmem35",0
"Ar",1
"Lxn",1
"Cdh8",6
"Laptm4b",3
"Tppp3",3
"Kctd4",1
"Sdc2",1
"Tacr3",1
"Pgrmc1",1
"Mrap2",2
"Rasd1",1
"Scg2",2
"Slc32a1",1
"Sox14",1
"Plekhb1",9
"Lhfpl1",2
"Pomc",2
"Vgll3",3
"Golim4",4
"App",6
"Npr3",4
"Nkx2.1",0
"Pcdh11x",6
"Pcdh19",4
"Rap2c",1
"Pcsk1",3
"Nptxr",3
"Enox2",9
"Inhbb",1
"Ldb2",3
"Rbms3",8
"Kcnk2",9
"Fgf13",6
"Rec8",3
"H2.Q2",0
"Nell1",4
"Nop56",9
"Hs3st4",1
"F730043M19Rik",4
"Ddah1",1
"Tmem47",1
"Mrps11",5
"Pcdh8",3
"Tmem163",4
"Fam159a",0
"Trpc5",2
"Ampd3",5
"Mad2l1",3
"Oprk1",4
"Kctd8",2
"Ptpn5",7
"Tmem8c",0
"Naaa",3
"Hs3st5",3
"Igsf21",1
"Peli1",4
"Lrrc38",0
"X4932443I19Rik",0
"Sema5a",8
"Dnajc21",5
"Hs3st1",4
"Col2a1",7
"Gfra1",6
"Rnf128",3
"Tmem200a",5
"Cacna2d1",7
"Prdm12",1
"Kiss1",2
"D430041D05Rik",5
"Tspan13",3
"Otp",2
"Greb1",8
"Lipg",1
"Cmip",3
"Gnai1",0
"Olfm2",4
"Npy1r",2
"Pak3",9
"Brs3",1
"Smoc1",2
"Cxxc5",4
"Stmn2",3
"Stk26",2
"Vcan",8
"Htatsf1",3
"Ets2",5
"Kcnk13",2
"Etnk2",4
"Lrrc17",2
"C130026L21Rik",3
"Ptprt",3
"Abhd17c",2
"Arl4c",3
"Fam222a",2
"Ptprg",6
"Gm14204",1
"BC030500",2
"Sytl4",5
"Rara",6
"Creb3l1",1
"Csrnp3",7
"Ism1",2
"Slc25a42",3
