"TF"	"target"	"importance"
"Nhlh2"	"Tac2"	108.504849574973
"Nhlh2"	"Esr1"	90.0107628916726
"Nhlh2"	"Prlr"	86.8402528645488
"Nhlh2"	"Lhx5"	81.6732174081094
"Nhlh2"	"Nr5a2"	72.7685159939001
"Nhlh2"	"Nr4a2"	72.0091515018813
"Nhlh2"	"Rxfp1"	65.910701175063
"Nhlh2"	"Calb1"	55.6410394402618
"Nhlh2"	"Slc17a6"	51.6239890210266
"Nhlh2"	"Pdyn"	50.99708479813
"Nhlh2"	"Sphkap"	49.8378434655038
"Nhlh2"	"Gm27199"	48.4490847614604
"Nhlh2"	"Tmem35"	47.3538512910605
"Nhlh2"	"Ar"	46.3471115653074
"Nhlh2"	"Lxn"	44.6582011326377
"Nhlh2"	"Cdh8"	42.6060859738261
"Nhlh2"	"Laptm4b"	40.2589209533404
"Nhlh2"	"Tppp3"	35.7489041518409
"Nhlh2"	"Kctd4"	33.6334191502732
"Nhlh2"	"Sdc2"	33.5232196782963
"Nhlh2"	"Tacr3"	33.2174645940161
"Nhlh2"	"Pgrmc1"	33.0573512604685
"Nhlh2"	"Mrap2"	33.0119766499438
"Nhlh2"	"Rasd1"	32.5023289803608
"Nhlh2"	"Scg2"	32.2218156430603
"Nhlh2"	"Slc32a1"	31.8439157234592
"Nhlh2"	"Sox14"	31.8055822184255
"Nhlh2"	"Plekhb1"	31.4167468862434
"Nhlh2"	"Lhfpl1"	30.4906803072195
"Nhlh2"	"Pomc"	28.6327489436048
"Nhlh2"	"Vgll3"	27.9032723482865
"Nhlh2"	"Golim4"	27.8308557939596
"Nhlh2"	"App"	27.5202947567942
"Nhlh2"	"Npr3"	26.7724591540304
"Nhlh2"	"Nkx2.1"	26.7383570376804
"Nhlh2"	"Pcdh11x"	26.6207808621096
"Nhlh2"	"Pcdh19"	26.5999462862267
"Nhlh2"	"Rap2c"	26.1083081710808
"Nhlh2"	"Pcsk1"	26.0508553986447
"Nhlh2"	"Nptxr"	25.6652169819022
"Nhlh2"	"Enox2"	25.5184598206182
"Nhlh2"	"Inhbb"	24.6907336900981
"Nhlh2"	"Ldb2"	24.5723317383141
"Nhlh2"	"Rbms3"	24.5085376836789
"Nhlh2"	"Kcnk2"	23.6596110206159
"Nhlh2"	"Fgf13"	23.6453771706251
"Nhlh2"	"Rec8"	23.3223911105738
"Nhlh2"	"H2.Q2"	23.0979515883271
"Nhlh2"	"Nell1"	22.9480738446216
"Nhlh2"	"Nop56"	22.8440389060942
"Nhlh2"	"Hs3st4"	22.7778794440134
"Nhlh2"	"F730043M19Rik"	22.6798758295902
"Nhlh2"	"Ddah1"	22.6614359409586
"Nhlh2"	"Tmem47"	22.2793357103906
"Nhlh2"	"Mrps11"	22.0240279084001
"Nhlh2"	"Pcdh8"	21.6781378303243
"Nhlh2"	"Tmem163"	21.4434039579071
"Nhlh2"	"Fam159a"	20.9112162066316
"Nhlh2"	"Trpc5"	20.5787548096024
"Nhlh2"	"Ampd3"	20.1461993931352
"Nhlh2"	"Mad2l1"	19.4205707459497
"Nhlh2"	"Oprk1"	18.8372376690839
"Nhlh2"	"Kctd8"	18.4289827234538
"Nhlh2"	"Ptpn5"	18.2800076576529
"Nhlh2"	"Tmem8c"	17.7982464992784
"Nhlh2"	"Naaa"	17.7283036966233
"Nhlh2"	"Hs3st5"	17.6477165357557
"Nhlh2"	"Igsf21"	17.1350973966653
"Nhlh2"	"Peli1"	16.8426122283563
"Nhlh2"	"Lrrc38"	16.595474763019
"Nhlh2"	"X4932443I19Rik"	16.4932120495043
"Nhlh2"	"Sema5a"	16.4431447215372
"Nhlh2"	"Dnajc21"	16.2812563510304
"Nhlh2"	"Hs3st1"	16.2285140644064
"Nhlh2"	"Col2a1"	16.2054526273127
"Nhlh2"	"Gfra1"	16.0076537215666
"Nhlh2"	"Rnf128"	16.0038914201745
"Nhlh2"	"Tmem200a"	15.9851866811086
"Nhlh2"	"Cacna2d1"	15.7574574939219
"Nhlh2"	"Prdm12"	15.5524262951304
"Nhlh2"	"Kiss1"	15.5363839031478
"Nhlh2"	"D430041D05Rik"	15.0784681583121
"Nhlh2"	"Tspan13"	14.6023345259827
"Nhlh2"	"Otp"	14.4193028663298
"Nhlh2"	"Greb1"	14.3128154125983
"Nhlh2"	"Lipg"	14.2737752112287
"Nhlh2"	"Cmip"	14.2588857838574
"Nhlh2"	"Gnai1"	14.2522077485739
"Nhlh2"	"Olfm2"	14.2144975509222
"Nhlh2"	"Npy1r"	13.6024545875492
"Nhlh2"	"Pak3"	13.5769764455892
"Nhlh2"	"Brs3"	13.5664807085938
"Nhlh2"	"Smoc1"	13.3269464630443
"Nhlh2"	"Cxxc5"	12.9844671363593
"Nhlh2"	"Stmn2"	12.8632393349184
"Nhlh2"	"Stk26"	12.8572674703478
"Nhlh2"	"Vcan"	12.5420626331517
"Nhlh2"	"Htatsf1"	12.0336074500798
"Nhlh2"	"Ets2"	11.9278467963732
"Nhlh2"	"Kcnk13"	11.8878150293001
"Nhlh2"	"Etnk2"	11.7717501057547
"Nhlh2"	"Lrrc17"	11.4347511050619
"Nhlh2"	"C130026L21Rik"	11.2872327531237
"Nhlh2"	"Ptprt"	11.2463867523021
"Nhlh2"	"Abhd17c"	11.2229839371092
"Nhlh2"	"Arl4c"	11.1468317549994
"Nhlh2"	"Fam222a"	11.0819340959943
"Nhlh2"	"Ptprg"	10.926066499402
"Nhlh2"	"Gm14204"	10.8432149061751
"Nhlh2"	"BC030500"	10.738152616815
"Nhlh2"	"Sytl4"	10.3056465509537
"Nhlh2"	"Rara"	10.2676195405323
"Nhlh2"	"Creb3l1"	10.1069067785784
"Nhlh2"	"Csrnp3"	10.0910375831424
"Nhlh2"	"Ism1"	10.0847127463657
"Nhlh2"	"Slc25a42"	10.0204910530265
