#mm10.knownGene.name	mm10.knownGene.txStart	mm10.knownGene.cdsStart	mm10.kgXref.geneSymbol
ENSMUST00000007433.4	133321874	133327249	Kiss1
ENSMUST00000027038.10	5588556	5589048	Oprk1
ENSMUST00000027585.13	127486545	127491599	Tmem163
ENSMUST00000027649.13	136842570	136845462	Nr5a2
ENSMUST00000038765.5	119415464	119417321	Inhbb
ENSMUST00000049972.5	79434668	79435150	Scg2
ENSMUST00000051236.10	88673124	88701085	Arl4c
ENSMUST00000053075.14	83265126	83265126	Sphkap
ENSMUST00000079451.12	189207929	189209789	Kcnk2
ENSMUST00000110920.6	189207936	189209789	Kcnk2
ENSMUST00000129213.1	133365331	133365629	Etnk2
ENSMUST00000131450.1	133367286	133367286	Etnk2
ENSMUST00000135222.8	133363571	133363763	Etnk2
ENSMUST00000147909.7	133363575	133363575	Etnk2
ENSMUST00000156832.1	133365763	133365763	Etnk2
ENSMUST00000159078.1	83255441	83257126	Sphkap
ENSMUST00000159083.1	5596517	5596517	Oprk1
ENSMUST00000159814.1	88698224	88701085	Arl4c
ENSMUST00000160111.7	127491360	127491360	Tmem163
ENSMUST00000160237.1	83339145	83339145	Sphkap
ENSMUST00000160339.1	5588940	5589048	Oprk1
ENSMUST00000160567.1	83384842	83384842	Sphkap
ENSMUST00000160616.7	127486557	127491599	Tmem163
ENSMUST00000160777.7	5588492	5589048	Oprk1
ENSMUST00000160953.7	83254138	83257126	Sphkap
ENSMUST00000162406.1	127491544	127491544	Tmem163
ENSMUST00000168126.6	136844275	136845462	Nr5a2
ENSMUST00000178033.4	133327211	133327249	Kiss1
ENSMUST00000180044.7	189207936	189258784	Kcnk2
ENSMUST00000184603.7	133309826	133309886	Gm28040
ENSMUST00000185234.1	79434668	79435150	Scg2
ENSMUST00000185560.1	127490897	127491599	Tmem163
ENSMUST00000187810.1	88673126	88701085	Arl4c
ENSMUST00000192357.5	136845313	136845462	Nr5a2
ENSMUST00000192529.1	189210061	189210061	Kcnk2
ENSMUST00000192587.1	136890356	136890356	Nr5a2
ENSMUST00000192685.1	5588465	5588465	Oprk1
ENSMUST00000192723.1	189209789	189209789	Kcnk2
ENSMUST00000192929.5	136845462	136845462	Nr5a2
ENSMUST00000193319.5	189209789	189209789	Kcnk2
ENSMUST00000193686.1	189210024	189210024	Kcnk2
ENSMUST00000193888.5	133309826	133327249	Gm28040
ENSMUST00000194044.5	133309826	133327249	Gm28040
ENSMUST00000194172.5	189209743	189242936	Kcnk2
ENSMUST00000194402.5	189209752	189209789	Kcnk2
ENSMUST00000195016.1	189339848	189339848	Kcnk2
ENSMUST00000195286.4	133323965	133327249	Gm28040
ENSMUST00000195428.1	136940984	136940984	Nr5a2
ENSMUST00000239100.1	5588492	5589048	Oprk1
ENSMUST00000009358.8	27061635	27062187	Mymk
ENSMUST00000028166.8	57106829	57108155	Nr4a2
ENSMUST00000028663.4	91982327	91982970	Creb3l1
ENSMUST00000028883.11	129686564	129688000	Pdyn
ENSMUST00000028890.14	130277156	130277156	Nop56
ENSMUST00000045738.4	158610766	158611241	Slc32a1
ENSMUST00000053910.9	65845841	65878039	Csrnp3
ENSMUST00000089726.9	104143072	104148780	D430041D05Rik
ENSMUST00000099307.3	139678177	139678669	Ism1
ENSMUST00000103198.10	130274429	130274473	Nop56
